iter	Passed	Remaining
0	19	19097
1	38	19436
2	66	21976
3	78	19663
4	90	18094
5	114	19034
6	136	19361
7	155	19306
8	178	19608
9	265	26235
10	292	26301
11	368	30329
12	425	32312
13	452	31880
14	517	33969
15	575	35395
16	601	34769
17	678	36998
18	703	36303
19	758	37143
20	784	36558
21	852	37890
22	888	37750
23	913	37163
24	973	37951
25	993	37224
26	1068	38491
27	1094	37980
28	1154	38672
29	1215	39317
30	1242	38826
31	1318	39890
32	1389	40730
33	1415	40229
34	1488	41045
35	1524	40836
36	1587	41320
37	1645	41653
38	1670	41167
39	1721	41309
40	1747	40880
41	1802	41107
42	1890	42073
43	1917	41668
44	1982	42069
45	2030	42103
46	2064	41856
47	2129	42231
48	2148	41691
49	2187	41569
50	2212	41176
51	2231	40675
52	2253	40258
53	2270	39773
54	2292	39397
55	2316	39052
56	2342	38757
57	2359	38327
58	2386	38069
59	2424	37988
60	2453	37764
61	2478	37500
62	2492	37077
63	2518	36839
64	2538	36514
65	2549	36080
66	2577	35887
67	2603	35685
68	2623	35398
69	2648	35185
70	2671	34958
71	2690	34679
72	2709	34405
73	2734	34222
74	2753	33961
75	2776	33752
76	2803	33599
77	2821	33345
78	2839	33105
79	2862	32921
80	2882	32704
81	2906	32541
82	2919	32252
83	2925	31899
84	2938	31630
85	2948	31338
86	2959	31057
87	2969	30772
88	2980	30505
89	2997	30306
90	3007	30041
91	3027	29875
92	3041	29660
93	3063	29527
94	3082	29368
95	3099	29190
96	3124	29082
97	3150	28994
98	3173	28881
99	3190	28716
100	3211	28589
101	3225	28394
102	3235	28178
103	3245	27965
104	3259	27786
105	3278	27647
106	3305	27586
107	3331	27518
108	3349	27380
109	3372	27286
110	3404	27264
111	3424	27152
112	3451	27091
113	3472	26991
114	3484	26819
115	3507	26727
116	3531	26650
117	3547	26515
118	3572	26450
119	3598	26386
120	3635	26413
121	3660	26342
122	3684	26273
123	3710	26214
124	3731	26117
125	3755	26050
126	3777	25966
127	3804	25915
128	3828	25852
129	3848	25752
130	3861	25614
131	3875	25483
132	3893	25383
133	3915	25302
134	3939	25242
135	3960	25159
136	3977	25052
137	3995	24960
138	4014	24867
139	4037	24799
140	4053	24694
141	4069	24587
142	4088	24503
143	4113	24452
144	4132	24367
145	4157	24318
146	4178	24244
147	4203	24195
148	4214	24070
149	4231	23980
150	4252	23908
151	4262	23778
152	4273	23657
153	4290	23571
154	4304	23468
155	4320	23377
156	4334	23273
157	4358	23226
158	4383	23184
159	4410	23155
160	4435	23115
161	4450	23020
162	4472	22968
163	4490	22890
164	4502	22786
165	4524	22730
166	4536	22629
167	4554	22555
168	4577	22509
169	4595	22436
170	4608	22343
171	4622	22251
172	4646	22209
173	4673	22187
174	4687	22099
175	4702	22014
176	4722	21959
177	4743	21907
178	4757	21818
179	4766	21716
180	4781	21634
181	4793	21546
182	4807	21465
183	4832	21430
184	4854	21387
185	4867	21302
186	4878	21208
187	4901	21169
188	4917	21103
189	4931	21023
190	4948	20961
191	4974	20935
192	4995	20886
193	5016	20843
194	5038	20798
195	5055	20736
196	5072	20677
197	5092	20626
198	5110	20570
199	5129	20519
200	5150	20474
201	5163	20398
202	5178	20332
203	5191	20258
204	5208	20200
205	5223	20134
206	5238	20069
207	5259	20025
208	5275	19964
209	5289	19897
210	5300	19819
211	5311	19741
212	5323	19669
213	5333	19590
214	5348	19526
215	5366	19479
216	5381	19417
217	5392	19342
218	5405	19276
219	5415	19200
220	5431	19146
221	5454	19114
222	5476	19083
223	5502	19060
224	5519	19011
225	5536	18960
226	5551	18905
227	5568	18856
228	5594	18836
229	5608	18777
230	5627	18734
231	5648	18697
232	5671	18671
233	5695	18644
234	5715	18605
235	5727	18541
236	5737	18472
237	5750	18412
238	5760	18343
239	5771	18275
240	5780	18203
241	5798	18162
242	5821	18133
243	5841	18098
244	5864	18071
245	5885	18039
246	5905	18001
247	5937	18004
248	5959	17974
249	5983	17950
250	6009	17931
251	6036	17918
252	6057	17885
253	6074	17839
254	6086	17782
255	6104	17742
256	6122	17699
257	6144	17672
258	6161	17626
259	6178	17585
260	6198	17551
261	6216	17510
262	6232	17464
263	6256	17441
264	6276	17409
265	6291	17360
266	6313	17332
267	6334	17301
268	6360	17285
269	6372	17228
270	6394	17200
271	6408	17152
272	6422	17102
273	6438	17059
274	6448	17000
275	6461	16949
276	6479	16911
277	6493	16864
278	6509	16823
279	6521	16768
280	6536	16724
281	6556	16694
282	6575	16659
283	6587	16608
284	6600	16559
285	6612	16508
286	6625	16459
287	6636	16407
288	6649	16357
289	6671	16332
290	6683	16284
291	6695	16233
292	6706	16183
293	6717	16132
294	6727	16078
295	6740	16032
296	6756	15993
297	6770	15948
298	6784	15907
299	6801	15870
300	6816	15828
301	6833	15794
302	6853	15766
303	6873	15737
304	6886	15692
305	6896	15640
306	6907	15592
307	6919	15545
308	6933	15505
309	6948	15465
310	6965	15431
311	6974	15379
312	6988	15338
313	6998	15290
314	7014	15253
315	7032	15221
316	7055	15201
317	7072	15169
318	7086	15127
319	7100	15089
320	7112	15044
321	7129	15011
322	7142	14970
323	7153	14926
324	7171	14895
325	7189	14864
326	7205	14830
327	7225	14802
328	7243	14772
329	7256	14732
330	7268	14691
331	7282	14653
332	7294	14611
333	7310	14577
334	7322	14536
335	7333	14492
336	7343	14447
337	7353	14402
338	7368	14366
339	7378	14323
340	7390	14281
341	7406	14249
342	7421	14216
343	7434	14177
344	7455	14153
345	7465	14111
346	7477	14071
347	7487	14028
348	7500	13990
349	7513	13953
350	7524	13913
351	7542	13885
352	7558	13853
353	7572	13818
354	7587	13785
355	7597	13743
356	7607	13702
357	7620	13666
358	7630	13624
359	7640	13583
360	7656	13551
361	7670	13518
362	7687	13490
363	7702	13457
364	7717	13425
365	7733	13396
366	7744	13357
367	7764	13335
368	7781	13306
369	7797	13276
370	7812	13245
371	7823	13207
372	7834	13169
373	7851	13142
374	7871	13118
375	7884	13084
376	7898	13051
377	7915	13025
378	7930	12994
379	7946	12964
380	7963	12937
381	7978	12908
382	7995	12881
383	8011	12851
384	8027	12822
385	8045	12797
386	8069	12782
387	8087	12756
388	8099	12721
389	8113	12690
390	8133	12668
391	8146	12634
392	8156	12597
393	8169	12564
394	8183	12534
395	8197	12503
396	8215	12478
397	8228	12445
