iter	RMSE
0	203.6557438
1	199.3036865
2	195.4579844
3	191.6796711
4	188.2625201
5	184.8330419
6	181.9426215
7	178.7592269
8	175.6413197
9	172.5692871
10	169.7159691
11	166.9370833
12	164.4934108
13	162.1366652
14	160.1562439
15	157.8584879
16	155.6269663
17	153.6452482
18	151.6354741
19	149.7299376
20	147.9555385
21	146.3033924
22	144.752612
23	143.2465655
24	141.9312193
25	140.4980903
26	139.1384472
27	137.8507366
28	136.6615991
29	135.4244967
30	134.3110912
31	133.2190831
32	132.1438717
33	131.0005082
34	129.9860464
35	129.0722821
36	128.1485063
37	127.2955506
38	126.3099171
39	125.4941058
40	124.7341721
41	124.1091387
42	123.2998081
43	122.5734092
44	121.9416385
45	121.2756629
46	120.6262646
47	119.9829923
48	119.3796434
49	118.8187632
50	118.2099692
51	117.7264932
52	117.0881192
53	116.5933142
54	116.0916758
55	115.578582
56	115.0854016
57	114.6489608
58	114.2764904
59	113.8685561
60	113.5284082
61	113.1327051
62	112.7427103
63	112.4297139
64	112.1276606
65	111.8084359
66	111.4752784
67	111.2143228
68	110.9163803
69	110.6893408
70	110.4305046
71	110.196283
72	109.9388148
73	109.6927734
74	109.4781886
75	109.3054904
76	108.9989728
77	108.7602649
78	108.5258753
79	108.2326235
80	108.0530001
81	107.9185708
82	107.7513742
83	107.4932986
84	107.3727919
85	107.2695433
86	106.9262267
87	106.7384063
88	106.5663502
89	106.4353279
90	106.2174563
91	106.0873274
92	105.9003488
93	105.67313
94	105.4732597
95	105.3233043
96	105.1874029
97	105.0553598
98	104.8812711
99	104.607518
100	104.4601394
101	104.2917529
102	104.0830764
103	103.9741799
104	103.8412641
105	103.7108694
106	103.6255994
107	103.4900716
108	103.364937
109	103.2516181
110	103.1379706
111	103.022617
112	102.8931144
113	102.8095246
114	102.6958966
115	102.5747257
116	102.3924172
117	102.2537728
118	102.1732874
119	102.0581192
120	101.9804661
121	101.7988502
122	101.6769965
123	101.5280113
124	101.4231499
125	101.2597493
126	101.1989702
127	101.0832829
128	100.9923116
129	100.885186
130	100.8005946
131	100.6883
132	100.5373503
133	100.4425292
134	100.3786335
135	100.2683859
136	100.170299
137	100.0384947
138	99.90096531
139	99.82595478
140	99.7223328
141	99.60155284
142	99.48134149
143	99.4040306
144	99.3578124
145	99.26409684
146	99.12207046
147	99.02065937
148	98.94530138
149	98.88349963
150	98.79885207
151	98.75056586
152	98.61919921
153	98.53628387
154	98.44425678
155	98.36253462
156	98.30286137
157	98.23708688
158	98.1446934
159	98.06566774
160	98.00934221
161	97.93138587
162	97.88568929
163	97.8309325
164	97.73023086
