iter	Passed	Remaining
0	3	3527
1	5	2988
2	7	2529
3	9	2303
4	10	2158
5	12	2065
6	14	1990
7	16	2037
8	19	2117
9	22	2192
10	24	2198
11	26	2142
12	27	2102
13	29	2062
14	31	2079
15	35	2159
16	38	2227
17	41	2248
18	43	2267
19	45	2247
20	47	2230
21	49	2204
22	51	2183
23	53	2159
24	54	2136
25	56	2117
26	58	2100
27	59	2080
28	62	2076
29	63	2063
30	65	2051
31	67	2041
32	69	2025
33	70	2012
34	72	1996
35	74	1984
36	76	1979
37	77	1968
38	79	1959
39	81	1945
40	82	1934
41	84	1923
42	86	1914
43	87	1905
44	89	1895
45	91	1899
46	94	1907
47	95	1900
48	98	1908
49	101	1925
50	103	1917
51	104	1908
52	107	1924
53	111	1945
54	114	1964
55	117	1983
56	119	1984
57	121	1975
58	123	1965
59	124	1955
60	126	1946
61	128	1938
62	129	1930
63	131	1923
64	133	1915
65	134	1910
66	136	1901
67	138	1893
68	139	1885
69	141	1877
70	142	1871
71	144	1865
72	146	1859
73	147	1851
74	149	1846
75	151	1838
76	152	1832
77	154	1826
78	156	1820
79	157	1813
80	159	1807
81	160	1800
82	162	1794
83	164	1791
84	165	1786
85	167	1781
86	169	1776
87	170	1770
88	172	1765
89	174	1761
90	175	1757
91	177	1752
92	179	1750
93	181	1745
94	182	1741
95	184	1736
96	186	1731
97	187	1727
98	189	1722
99	190	1717
100	192	1713
101	194	1716
102	197	1718
103	198	1714
104	200	1709
105	202	1705
106	203	1700
107	205	1696
108	207	1692
109	208	1690
110	210	1686
111	212	1682
112	213	1678
113	215	1673
114	216	1669
115	218	1666
116	220	1661
117	221	1657
118	223	1657
119	225	1654
120	227	1650
121	228	1646
122	230	1642
123	232	1639
124	233	1635
125	235	1631
126	236	1628
127	238	1625
128	240	1621
129	241	1618
130	243	1615
131	245	1613
132	247	1611
133	248	1606
134	250	1604
135	253	1610
136	256	1614
137	258	1614
138	260	1611
139	261	1608
140	263	1605
141	265	1601
142	266	1599
143	268	1596
144	270	1593
145	271	1589
146	273	1586
147	274	1582
148	276	1579
149	278	1576
150	279	1573
151	281	1571
152	283	1568
153	285	1565
154	286	1562
155	288	1560
156	290	1557
157	291	1554
158	293	1551
159	294	1548
160	297	1547
161	298	1545
162	300	1542
163	301	1539
164	303	1536
165	305	1533
166	306	1530
167	308	1527
168	310	1524
169	311	1522
170	313	1520
171	315	1517
172	316	1515
173	318	1513
174	320	1510
175	321	1507
176	323	1504
177	325	1502
178	326	1499
179	328	1496
180	330	1493
181	331	1490
182	333	1488
183	334	1485
184	336	1482
185	338	1480
186	340	1478
187	341	1476
188	343	1474
189	345	1471
190	346	1468
191	348	1465
192	349	1463
193	351	1460
194	353	1458
195	354	1455
196	356	1453
197	358	1450
198	359	1448
199	361	1445
200	363	1443
201	364	1440
202	366	1437
203	367	1435
204	369	1433
205	371	1430
206	372	1427
207	374	1425
208	375	1422
209	377	1419
210	379	1417
211	380	1414
212	382	1413
213	384	1411
214	386	1409
215	387	1407
216	389	1404
217	390	1401
218	392	1399
219	394	1397
220	395	1394
221	397	1393
222	399	1391
223	401	1389
224	404	1392
225	405	1390
226	407	1387
227	409	1385
228	410	1383
229	412	1381
230	414	1379
231	415	1376
232	417	1374
233	419	1371
234	420	1369
235	422	1366
236	423	1364
237	425	1362
238	427	1359
239	428	1357
240	430	1354
241	431	1352
242	433	1350
243	434	1347
244	436	1345
245	438	1343
246	439	1341
247	441	1339
248	443	1336
249	444	1334
250	446	1332
251	448	1330
252	449	1328
253	451	1325
254	453	1324
255	455	1324
256	457	1323
257	460	1325
258	463	1326
259	467	1329
260	470	1332
261	472	1331
262	474	1329
263	476	1328
264	479	1329
265	482	1330
266	483	1328
267	486	1329
268	488	1328
269	490	1326
270	492	1324
271	493	1321
272	495	1319
273	497	1319
274	500	1320
275	502	1319
276	505	1318
277	507	1319
278	511	1321
279	513	1320
280	515	1319
281	517	1316
282	518	1314
283	520	1312
284	522	1309
285	523	1307
286	525	1305
287	526	1302
288	528	1300
289	530	1298
290	532	1296
291	533	1293
292	535	1291
293	536	1289
294	538	1286
295	540	1284
296	541	1282
297	543	1280
298	545	1278
299	546	1275
300	548	1273
301	549	1270
302	551	1268
303	553	1266
304	554	1263
305	556	1261
306	558	1259
307	559	1257
308	561	1255
309	562	1253
310	564	1251
311	566	1248
312	567	1246
313	569	1244
314	571	1242
315	572	1240
316	574	1237
317	576	1235
318	577	1233
319	579	1231
320	580	1228
321	582	1226
322	584	1224
323	585	1222
324	587	1220
325	589	1218
326	590	1216
327	592	1214
328	594	1212
329	595	1209
330	597	1207
331	599	1205
